sample,model,variable,coef,se,t,p,stars,ci_lo,ci_hi,n,r2,adj_r2
P3_2019_2025,M4_TCI,tci_z,0.2578,0.0277,9.313,0.0,***,0.2036,0.3121,3577,0.8936,0.8933
P3_2019_2025,M4_TCI,fsts_x_tci,-0.3726,0.206,-1.809,0.0704,*,-0.7763,0.0311,3577,0.8936,0.8933
P3_2019_2025,M4_TCI,fsts2_x_tci,0.2209,0.3026,0.73,0.4654,,-0.3722,0.8141,3577,0.8936,0.8933
P3_2019_2025,M4_TCI,log_emp,-0.0141,0.0175,-0.805,0.4209,,-0.0483,0.0202,3577,0.8936,0.8933
P3_2019_2025,M4_TCI,firm_age,-0.3233,0.0583,-5.542,0.0,***,-0.4376,-0.209,3577,0.8936,0.8933
P3_2019_2025,M4_TCI,fdi10,0.138,0.0638,2.164,0.0305,**,0.013,0.2629,3577,0.8936,0.8933
P3_2019_2025,M5_DAI,const,11.5854,0.1132,102.373,0.0,***,11.3636,11.8072,3581,0.8916,0.8912
P3_2019_2025,M5_DAI,fsts_c,0.356,0.3422,1.04,0.2981,,-0.3146,1.0266,3581,0.8916,0.8912
P3_2019_2025,M5_DAI,fsts_c2,2.9991,1.5427,1.944,0.0519,*,-0.0246,6.0228,3581,0.8916,0.8912
P3_2019_2025,M5_DAI,fsts_c3,-4.3001,1.428,-3.011,0.0026,***,-7.099,-1.5012,3581,0.8916,0.8912
P3_2019_2025,M5_DAI,dai_z,0.1632,0.0281,5.808,0.0,***,0.1081,0.2183,3581,0.8916,0.8912
P3_2019_2025,M5_DAI,fsts_x_dai,-0.1944,0.2173,-0.895,0.371,,-0.6203,0.2315,3581,0.8916,0.8912
P3_2019_2025,M5_DAI,fsts2_x_dai,0.0283,0.3331,0.085,0.9324,,-0.6245,0.681,3581,0.8916,0.8912
P3_2019_2025,M5_DAI,log_emp,0.02,0.0174,1.146,0.2517,,-0.0142,0.0542,3581,0.8916,0.8912
P3_2019_2025,M5_DAI,firm_age,-0.3183,0.0593,-5.364,0.0,***,-0.4346,-0.202,3581,0.8916,0.8912
P3_2019_2025,M5_DAI,fdi10,0.194,0.0638,3.039,0.0024,***,0.0689,0.3192,3581,0.8916,0.8912
P3_2019_2025,M6_TCI_DAI,const,11.6498,0.11,105.938,0.0,***,11.4343,11.8653,3577,0.8935,0.8932
P3_2019_2025,M6_TCI_DAI,fsts_c,0.0606,0.3247,0.187,0.8518,,-0.5757,0.6969,3577,0.8935,0.8932
P3_2019_2025,M6_TCI_DAI,fsts_c2,3.4538,1.5044,2.296,0.0217,**,0.5052,6.4024,3577,0.8935,0.8932
P3_2019_2025,M6_TCI_DAI,fsts_c3,-4.4743,1.3996,-3.197,0.0014,***,-7.2175,-1.7311,3577,0.8935,0.8932
P3_2019_2025,M6_TCI_DAI,tci_z,0.2202,0.0254,8.683,0.0,***,0.1705,0.2698,3577,0.8935,0.8932
P3_2019_2025,M6_TCI_DAI,dai_z,0.0741,0.0249,2.97,0.003,***,0.0252,0.123,3577,0.8935,0.8932
P3_2019_2025,M6_TCI_DAI,log_emp,-0.0166,0.0176,-0.941,0.3465,,-0.0511,0.0179,3577,0.8935,0.8932
P3_2019_2025,M6_TCI_DAI,firm_age,-0.3084,0.0584,-5.278,0.0,***,-0.4229,-0.1939,3577,0.8935,0.8932
P3_2019_2025,M6_TCI_DAI,fdi10,0.129,0.0639,2.019,0.0435,**,0.0037,0.2542,3577,0.8935,0.8932
P3_2019_2025,M7_full,const,11.6822,0.1118,104.479,0.0,***,11.4631,11.9014,3577,0.894,0.8936
P3_2019_2025,M7_full,fsts_c,0.208,0.3461,0.601,0.5479,,-0.4704,0.8864,3577,0.894,0.8936
P3_2019_2025,M7_full,fsts_c2,3.5928,1.5265,2.354,0.0186,**,0.601,6.5846,3577,0.894,0.8936
P3_2019_2025,M7_full,fsts_c3,-4.7581,1.4071,-3.381,0.0007,***,-7.516,-2.0002,3577,0.894,0.8936
P3_2019_2025,M7_full,tci_z,0.2337,0.0338,6.91,0.0,***,0.1674,0.3,3577,0.894,0.8936
P3_2019_2025,M7_full,fsts_x_tci,-0.22,0.2762,-0.796,0.4258,,-0.7614,0.3214,3577,0.894,0.8936
P3_2019_2025,M7_full,fsts2_x_tci,0.0967,0.3898,0.248,0.8041,,-0.6673,0.8607,3577,0.894,0.8936
P3_2019_2025,M7_full,dai_z,0.0615,0.0344,1.789,0.0736,*,-0.0059,0.1288,3577,0.894,0.8936
P3_2019_2025,M7_full,fsts_x_dai,-0.2892,0.2913,-0.993,0.3209,,-0.8602,0.2818,3577,0.894,0.8936
P3_2019_2025,M7_full,fsts2_x_dai,0.2176,0.4222,0.515,0.6063,,-0.6099,1.0452,3577,0.894,0.8936
P3_2019_2025,M7_full,log_emp,-0.0214,0.0176,-1.214,0.2247,,-0.056,0.0132,3577,0.894,0.8936
P3_2019_2025,M7_full,firm_age,-0.3128,0.0583,-5.368,0.0,***,-0.4271,-0.1986,3577,0.894,0.8936
P3_2019_2025,M7_full,fdi10,0.1407,0.0637,2.21,0.0271,**,0.0159,0.2655,3577,0.894,0.8936
