sample,model,variable,coef,se,t,p,stars,ci_lo,ci_hi,n,r2,adj_r2
VNM_pooled,M6_TCI_DAI,fsts_c,0.2954,0.2168,1.363,0.173,,-0.1295,0.7204,2967,0.1548,0.152
VNM_pooled,M6_TCI_DAI,fsts_c2,0.516,1.2929,0.399,0.6898,,-2.0181,3.0501,2967,0.1548,0.152
VNM_pooled,M6_TCI_DAI,fsts_c3,-2.383,1.4539,-1.639,0.1012,,-5.2327,0.4666,2967,0.1548,0.152
VNM_pooled,M6_TCI_DAI,tci_z,0.1332,0.0282,4.724,0.0,***,0.078,0.1885,2967,0.1548,0.152
VNM_pooled,M6_TCI_DAI,dai_z,0.1237,0.0284,4.351,0.0,***,0.068,0.1794,2967,0.1548,0.152
VNM_pooled,M6_TCI_DAI,log_emp,-0.0946,0.0205,-4.624,0.0,***,-0.1347,-0.0545,2967,0.1548,0.152
VNM_pooled,M6_TCI_DAI,firm_age,-0.3809,0.0966,-3.942,0.0001,***,-0.5703,-0.1915,2967,0.1548,0.152
VNM_pooled,M6_TCI_DAI,fdi10,0.2447,0.0769,3.181,0.0015,***,0.0939,0.3955,2967,0.1548,0.152
VNM_pooled,M7_full,const,20.5687,0.243,84.649,0.0,***,20.0924,21.0449,2967,0.1567,0.1527
VNM_pooled,M7_full,fsts_c,0.3676,0.2259,1.627,0.1037,,-0.0751,0.8103,2967,0.1567,0.1527
VNM_pooled,M7_full,fsts_c2,0.7286,1.3109,0.556,0.5784,,-1.8407,3.2978,2967,0.1567,0.1527
VNM_pooled,M7_full,fsts_c3,-2.7781,1.4676,-1.893,0.0584,*,-5.6545,0.0982,2967,0.1567,0.1527
VNM_pooled,M7_full,tci_z,0.1572,0.0516,3.045,0.0023,***,0.056,0.2584,2967,0.1567,0.1527
VNM_pooled,M7_full,fsts_x_tci,0.0157,0.196,0.08,0.936,,-0.3684,0.3999,2967,0.1567,0.1527
VNM_pooled,M7_full,fsts2_x_tci,-0.0588,0.3341,-0.176,0.8603,,-0.7136,0.5961,2967,0.1567,0.1527
VNM_pooled,M7_full,dai_z,0.0428,0.0648,0.661,0.5087,,-0.0842,0.1698,2967,0.1567,0.1527
VNM_pooled,M7_full,fsts_x_dai,-0.4596,0.2482,-1.852,0.0641,*,-0.946,0.0269,2967,0.1567,0.1527
VNM_pooled,M7_full,fsts2_x_dai,0.5834,0.4277,1.364,0.1725,,-0.2548,1.4217,2967,0.1567,0.1527
VNM_pooled,M7_full,log_emp,-0.0957,0.0206,-4.646,0.0,***,-0.1361,-0.0553,2967,0.1567,0.1527
VNM_pooled,M7_full,firm_age,-0.3722,0.0967,-3.849,0.0001,***,-0.5617,-0.1826,2967,0.1567,0.1527
VNM_pooled,M7_full,fdi10,0.2517,0.0767,3.282,0.001,***,0.1014,0.4019,2967,0.1567,0.1527
