country,year,sales,employees,ln_lp,fsts,fsts_sq,foreign_tech,product_innov,rd_spending,quality_cert,website,epayment_pct,epay_supp_pct,ln_empl,firm_age,foreign_dummy
SGP,2023,1500000.0,10.0,11.918390573078392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,2.3025851249694824,49.0,0.0
SGP,2023,1500000.0,13.0,11.656026308610901,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,100.0,2.5649492740631104,45.0,0.0
SGP,2023,1000000.0,5.0,12.206072645530174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,70.0,1.6094379425048828,40.0,0.0
SGP,2023,4500000.0,70.0,11.07109271269119,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.248495101928711,45.0,0.0
SGP,2023,4000000.0,30.0,11.80060753742201,0.0,0.0,1.0,0.0,0.0,1.0,1.0,70.0,10.0,3.4011974334716797,45.0,0.0
SGP,2023,38000000.0,300.0,11.749314243034458,0.3,0.09,1.0,0.0,0.0,1.0,1.0,80.0,30.0,5.703782558441162,44.0,1.0
SGP,2023,7000000.0,9.0,13.564196129683369,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,2.1972246170043945,44.0,0.0
SGP,2023,8000000.0,60.0,11.80060753742201,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,4.094344615936279,33.0,0.0
SGP,2023,15000000.0,15.0,13.815510557964274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,2.70805025100708,44.0,1.0
SGP,2023,300000.0,5.0,11.002099841204238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,1.6094379425048828,42.0,0.0
SGP,2023,1000000.0,15.0,11.107460356862065,0.0,0.0,1.0,0.0,0.0,1.0,1.0,75.0,75.0,2.70805025100708,42.0,1.0
SGP,2023,800000.0,18.0,10.7019952487539,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,80.0,2.890371799468994,48.0,0.0
SGP,2023,4000000.0,149.0,10.197858613138706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,5.003946304321289,42.0,0.0
SGP,2023,5000000.0,10.0,13.122363377404328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,2.3025851249694824,41.0,0.0
SGP,2023,5000000.0,120.0,10.637456727616328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,70.0,4.787491798400879,41.0,0.0
SGP,2023,5000000.0,30.0,12.02375108873622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,3.4011974334716797,40.0,0.0
SGP,2023,800000.0,5.0,11.982929094215963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,1.6094379425048828,40.0,0.0
SGP,2023,40000000.0,99.0,12.90927016194362,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.595119953155518,40.0,0.0
SGP,2023,24000000.0,350.0,11.13563123382876,0.0,0.0,0.0,0.0,0.0,1.0,1.0,90.0,50.0,5.857933044433594,40.0,1.0
SGP,2023,15000000.0,25.0,13.304684934198283,0.0,0.0,0.0,1.0,0.0,0.0,1.0,30.0,50.0,3.2188758850097656,40.0,0.0
SGP,2023,1000000.0,6.0,12.02375108873622,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,80.0,1.7917594909667969,40.0,0.0
SGP,2023,10000000.0,15.0,13.41004544985611,0.8,0.6400000000000001,0.0,1.0,0.0,0.0,1.0,80.0,80.0,2.70805025100708,39.0,1.0
SGP,2023,2300000.0,33.0,11.151912119432899,0.4,0.16000000000000003,0.0,0.0,0.0,0.0,1.0,90.0,95.0,3.4965076446533203,39.0,1.0
SGP,2023,50000000.0,125.0,12.89921982609012,0.0,0.0,0.0,0.0,1.0,0.0,1.0,80.0,50.0,4.828313827514648,39.0,1.0
SGP,2023,500000.0,10.0,10.819778284410283,0.0,0.0,0.0,0.0,0.0,1.0,1.0,95.0,95.0,2.3025851249694824,38.0,1.0
SGP,2023,3000000.0,35.0,11.35877478514297,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,90.0,3.5553481578826904,38.0,0.0
SGP,2023,50000000.0,105.0,13.073573213234896,0.3,0.09,0.0,1.0,0.0,1.0,1.0,,,4.653960227966309,48.0,0.0
SGP,2023,20000000.0,46.0,12.98260143502917,0.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,10.0,3.828641414642334,37.0,0.0
SGP,2023,2000000.0,44.0,10.724468104605958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,3.7841897010803223,37.0,0.0
SGP,2023,1500000.0,15.0,11.512925464970229,0.25,0.0625,0.0,1.0,0.0,0.0,1.0,90.0,90.0,2.70805025100708,28.0,1.0
SGP,2023,380000000.0,320.0,13.987360814890934,0.0,0.0,0.0,0.0,0.0,1.0,1.0,90.0,99.0,5.7683210372924805,36.0,1.0
SGP,2023,1500000.0,8.0,12.141534124392603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,100.0,2.079441547393799,36.0,0.0
SGP,2023,900000.0,15.0,11.002099841204238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.0,2.70805025100708,35.0,0.0
SGP,2023,18000000.0,30.0,13.304684934198283,0.1,0.010000000000000002,1.0,1.0,0.0,1.0,1.0,60.0,20.0,3.4011974334716797,37.0,0.0
SGP,2023,15800000.0,40.0,12.886641043883259,0.1,0.010000000000000002,0.0,0.0,1.0,0.0,1.0,70.0,70.0,3.6888794898986816,34.0,0.0
SGP,2023,20000000.0,120.0,12.02375108873622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,4.787491798400879,25.0,1.0
SGP,2023,11000000.0,30.0,12.81220844910049,0.2,0.04000000000000001,0.0,1.0,0.0,0.0,1.0,70.0,90.0,3.4011974334716797,34.0,0.0
SGP,2023,1000000.0,10.0,11.512925464970229,0.7,0.48999999999999994,0.0,0.0,0.0,1.0,1.0,65.0,50.0,2.3025851249694824,34.0,0.0
SGP,2023,28000000.0,60.0,13.053370505917377,0.1,0.010000000000000002,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.094344615936279,34.0,1.0
SGP,2023,2000000.0,40.0,10.819778284410283,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,90.0,3.6888794898986816,33.0,0.0
SGP,2023,3000000.0,19.0,11.969683867465942,0.2,0.04000000000000001,1.0,0.0,0.0,1.0,1.0,90.0,90.0,2.944438934326172,33.0,1.0
SGP,2023,6000000.0,106.0,10.943830933080262,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,4.6634392738342285,33.0,0.0
SGP,2023,3000000.0,24.0,11.736069016284437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,3.178053855895996,33.0,0.0
SGP,2023,1500000.0,5.0,12.611537753638338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,33.0,0.0
SGP,2023,1500000.0,45.0,10.41431317630212,0.0,0.0,0.0,1.0,0.0,1.0,1.0,60.0,100.0,3.8066625595092773,32.0,0.0
SGP,2023,1900000.0,42.0,10.719694825853301,0.0,0.0,1.0,0.0,0.0,0.0,1.0,90.0,90.0,3.7376697063446045,32.0,0.0
SGP,2023,3100000.0,22.0,11.85587021609706,0.0,0.0,0.0,1.0,0.0,1.0,1.0,80.0,80.0,3.0910425186157227,32.0,0.0
SGP,2023,10000000.0,120.0,11.330603908176274,0.0,0.0,0.0,0.0,0.0,1.0,0.0,70.0,80.0,4.787491798400879,32.0,0.0
SGP,2023,6500000.0,150.0,10.676677440769609,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,,5.0106353759765625,28.0,1.0
SGP,2023,3000000.0,21.0,11.86960040890896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,70.0,3.044522523880005,32.0,0.0
SGP,2023,5500000.0,100.0,10.915088464214607,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,70.0,4.605170249938965,32.0,0.0
SGP,2023,3800000.0,105.0,10.49655127453909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,10.0,4.653960227966309,31.0,0.0
SGP,2023,16000000.0,101.0,11.972978763362796,0.0,0.0,0.0,0.0,0.0,1.0,1.0,40.0,60.0,4.6151204109191895,35.0,0.0
SGP,2023,18000000.0,340.0,10.876936698250232,0.0,0.0,1.0,0.0,0.0,1.0,1.0,95.0,90.0,5.828945636749268,31.0,1.0
SGP,2023,4000000.0,15.0,12.493754717981954,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.0,100.0,2.70805025100708,31.0,0.0
SGP,2023,850000.0,9.0,11.45576705113028,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,90.0,2.1972246170043945,31.0,0.0
SGP,2023,2100000.0,20.0,11.56171562913966,0.3,0.09,1.0,0.0,0.0,0.0,1.0,90.0,90.0,2.995732307434082,31.0,0.0
SGP,2023,1796000.0,15.0,11.693022326742073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,2.70805025100708,30.0,1.0
SGP,2023,3000000.0,6.0,13.122363377404328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,1.7917594909667969,30.0,1.0
SGP,2023,1400000.0,8.0,12.072541252905651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,2.079441547393799,30.0,0.0
SGP,2023,11000000.0,50.0,12.301382825334498,0.0,0.0,0.0,1.0,1.0,0.0,1.0,70.0,100.0,3.9120230674743652,30.0,1.0
SGP,2023,420000.0,6.0,11.156250521031495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,20.0,1.7917594909667969,30.0,1.0
SGP,2023,800000.0,5.0,11.982929094215963,0.6,0.36,0.0,0.0,0.0,1.0,1.0,90.0,80.0,1.6094379425048828,30.0,0.0
SGP,2023,4000000.0,12.0,12.716898269296165,0.3,0.09,0.0,0.0,0.0,0.0,0.0,30.0,30.0,2.4849066734313965,29.0,1.0
SGP,2023,550000.0,20.0,10.221941283654663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,2.995732307434082,29.0,0.0
SGP,2023,25000000.0,250.0,11.512925464970229,0.3,0.09,1.0,0.0,0.0,1.0,1.0,80.0,80.0,5.521461009979248,29.0,0.0
SGP,2023,1000000.0,35.0,10.26016249647486,0.0,0.0,0.0,1.0,0.0,0.0,1.0,70.0,100.0,3.5553481578826904,29.0,0.0
SGP,2023,10000000.0,110.0,11.417615285165903,0.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0,80.0,4.7004804611206055,43.0,0.0
SGP,2023,10000000.0,47.0,12.267948049248261,0.5,0.25,0.0,0.0,0.0,0.0,0.0,100.0,100.0,3.8501477241516113,29.0,0.0
SGP,2023,15000000.0,21.0,13.479038321343062,0.7,0.48999999999999994,0.0,0.0,0.0,0.0,1.0,99.0,99.0,3.044522523880005,28.0,1.0
SGP,2023,11000000.0,130.0,11.345871380307063,0.3,0.09,1.0,0.0,0.0,1.0,1.0,90.0,90.0,4.867534637451172,28.0,0.0
SGP,2023,22000000.0,120.0,12.119061268540545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,4.787491798400879,28.0,0.0
SGP,2023,3000000.0,30.0,11.512925464970229,0.0,0.0,1.0,0.0,0.0,0.0,1.0,90.0,60.0,3.4011974334716797,28.0,0.0
SGP,2023,1400000.0,20.0,11.156250521031495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,90.0,2.995732307434082,28.0,0.0
SGP,2023,3000000.0,13.0,12.349173489170846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,40.0,2.5649492740631104,28.0,0.0
SGP,2023,650000.0,40.0,9.695848187757884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,3.6888794898986816,28.0,0.0
SGP,2023,1000000.0,6.0,12.02375108873622,0.05,0.0025000000000000005,0.0,0.0,0.0,0.0,0.0,50.0,50.0,1.7917594909667969,27.0,0.0
SGP,2023,1000000.0,105.0,9.161550207806751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,100.0,4.653960227966309,23.0,0.0
