region,country,year,tag,filename,rel_path,size_bytes,size_mb,md5_8,n_obs,n_vars,core_vars
Central Asia,Kazakhstan,2024,fulldata,Kazakhstan_2024.dta,raw/Kazakhstan/Kazakhstan_2024.dta,1510484,1.44,e5ce5339,1013,340,30
Pacific,Kiribati,2025,full-data,Kiribati_2025_full-data.dta,raw/Kiribati/Kiribati_2025_full-data.dta,239393,0.23,ecb14b44,150,336,30
East Asia,Korea,2024,fulldata,Korea_2024.dta,raw/Korea/Korea_2024.dta,2302880,2.2,0174e3fb,1518,339,30
West Asia,Kuwait,2025,full-data,Kuwait_2025_full-data.dta,raw/Kuwait/Kuwait_2025_full-data.dta,265022,0.25,4e0a48ea,150,337,30
Central Asia,KyrgyzRepublic,2009,fulldata,KyrgyzRepublic_2009.dta,raw/KyrgyzRepublic/KyrgyzRepublic_2009.dta,518046,0.49,57be686e,235,282,30
Central Asia,KyrgyzRepublic,2013,fulldata,KyrgyzRepublic_2013.dta,raw/KyrgyzRepublic/KyrgyzRepublic_2013.dta,906805,0.86,9684008d,270,388,36
Central Asia,KyrgyzRepublic,2019,fulldata,KyrgyzRepublic_2019.dta,raw/KyrgyzRepublic/KyrgyzRepublic_2019.dta,801674,0.76,a2430c53,360,437,35
Central Asia,KyrgyzRepublic,2023,fulldata,KyrgyzRepublic_2023.dta,raw/KyrgyzRepublic/KyrgyzRepublic_2023.dta,721430,0.69,a3090544,354,355,30
Southeast Asia,Laos,2009,fulldata,Laos_2009.dta,raw/Laos/Laos_2009.dta,274682,0.26,a677a42e,360,217,31
Southeast Asia,Laos,2012,fulldata,Laos_2012.dta,raw/Laos/Laos_2012.dta,685999,0.65,60213bbb,379,479,33
Southeast Asia,Laos,2016,fulldata,Laos_2016.dta,raw/Laos/Laos_2016.dta,1843977,1.76,ba057e7b,368,353,36
Southeast Asia,Laos,2018,fulldata,Laos_2018.dta,raw/Laos/Laos_2018.dta,897137,0.86,43d4e4d7,332,347,35
Southeast Asia,Laos,2019,fulldataLongForm,Laos_2019_fulldataLongForm.dta,raw/Laos/Laos_2019_fulldataLongForm.dta,751318,0.72,4aa596e1,361,206,15
Southeast Asia,Laos,2024,fulldata,Laos_2024.dta,raw/Laos/Laos_2024.dta,598249,0.57,5b6bd761,363,339,30
West Asia,Lebanon,2009,full-data,Lebanon_2009_full-data.dta,raw/Lebanon/Lebanon_2009_full-data.dta,895091,0.85,1fdccb20,382,651,1
West Asia,Lebanon,2013,full-data,Lebanon_2013_full-data.dta,raw/Lebanon/Lebanon_2013_full-data.dta,1220495,1.16,dcfcea9a,561,416,35
West Asia,Lebanon,2019,full-data,Lebanon_2019_full-data.dta,raw/Lebanon/Lebanon_2019_full-data.dta,1024323,0.98,22fbf6a7,532,433,35
