sample,model,variable,beta,se,p,n,r2
CHN_2012,M1_k3bc_FSTSsq,const,12.789166377717102,0.08822058069229252,0.0,2559,0.05520285392258095
CHN_2012,M1_k3bc_FSTSsq,FSTS,1.8498711152520853,0.3683593089071859,5.115739479239157e-07,2559,0.05520285392258095
CHN_2012,M1_k3bc_FSTSsq,FSTS_sq,-1.82293339439094,0.42485163814377963,1.7806837488850515e-05,2559,0.05520285392258095
CHN_2012,M1_k3bc_FSTSsq,k3bc,0.0153067616145883,0.0020099844110143938,2.6295070528567594e-14,2559,0.05520285392258095
CHN_2012,M1_k3bc_FSTSsq,FSTSsq_x_k3bc,-0.0061494826425740196,0.007973852861298746,0.4405848775490966,2559,0.05520285392258095
CHN_2012,M1_k3bc_FSTSsq,lnemp,-0.1326094494505341,0.02379679084915588,2.5099848775559004e-08,2559,0.05520285392258095
CHN_2012,M1_k3bc_FSTSsq,firm_age,0.009187367963784531,0.003394673996459593,0.006801572081329444,2559,0.05520285392258095
CHN_2012,M1_k3bc_FSTSsq,foreign_dummy,0.11395483383256201,0.09193986104424537,0.21517900298230797,2559,0.05520285392258095
CHN_2012,M1_k3f_FSTSsq,const,12.74471378922844,0.08979191958968533,0.0,2559,0.024675781171567768
CHN_2012,M1_k3f_FSTSsq,FSTS,1.9027560357045215,0.3730632602660518,3.3901235324095147e-07,2559,0.024675781171567768
CHN_2012,M1_k3f_FSTSsq,FSTS_sq,-1.861164672537861,0.4308829701360025,1.564395523239667e-05,2559,0.024675781171567768
CHN_2012,M1_k3f_FSTSsq,k3f,0.008335394814109085,0.00235191676395596,0.00039397700546685624,2559,0.024675781171567768
CHN_2012,M1_k3f_FSTSsq,FSTSsq_x_k3f,-0.01687803873135567,0.006500775396027563,0.009423055968956732,2559,0.024675781171567768
CHN_2012,M1_k3f_FSTSsq,lnemp,-0.09976305156435455,0.02317217404285591,1.667631460446187e-05,2559,0.024675781171567768
CHN_2012,M1_k3f_FSTSsq,firm_age,0.008560120534130045,0.003466104009192107,0.013523911295267149,2559,0.024675781171567768
CHN_2012,M1_k3f_FSTSsq,foreign_dummy,0.08810482863315289,0.09448883474119417,0.35111104217841205,2559,0.024675781171567768
CHN_2012,M1_k30_FSTSsq,const,12.718143578800763,0.09050723151004944,0.0,2593,0.02180537951430217
CHN_2012,M1_k30_FSTSsq,FSTS,2.072572603330988,0.3803126481257521,5.0467713320778666e-08,2593,0.02180537951430217
CHN_2012,M1_k30_FSTSsq,FSTS_sq,-2.1320325061701326,0.42788590729688314,6.269903849880661e-07,2593,0.02180537951430217
CHN_2012,M1_k30_FSTSsq,k30,0.06003239468281764,0.028547531268998488,0.035475151412588814,2593,0.02180537951430217
CHN_2012,M1_k30_FSTSsq,FSTSsq_x_k30,-0.007350276500702286,0.18427816708292213,0.9681833310816583,2593,0.02180537951430217
CHN_2012,M1_k30_FSTSsq,lnemp,-0.09821120751741574,0.022889395851043635,1.781221226660533e-05,2593,0.02180537951430217
CHN_2012,M1_k30_FSTSsq,firm_age,0.008239001720906358,0.0034173653685987643,0.015912246333730663,2593,0.02180537951430217
CHN_2012,M1_k30_FSTSsq,foreign_dummy,0.10406598986883074,0.09463593917494707,0.2714865851745899,2593,0.02180537951430217
CHN_2024,M1_overdraft_FSTSsq,const,12.369153280356628,0.08478251602980517,0.0,1888,0.05333546448947435
CHN_2024,M1_overdraft_FSTSsq,FSTS,1.8013694366703412,0.5884701710056156,0.0022052117811981915,1888,0.05333546448947435
CHN_2024,M1_overdraft_FSTSsq,FSTS_sq,-1.9756587436518804,0.7237956667228905,0.00634149096634361,1888,0.05333546448947435
CHN_2024,M1_overdraft_FSTSsq,overdraft_z,0.026447375612333877,0.034452938687716206,0.44270244094094047,1888,0.05333546448947435
CHN_2024,M1_overdraft_FSTSsq,FSTSsq_x_overdraft,-0.3844259686444029,0.22021820567509165,0.08087016351182104,1888,0.05333546448947435
CHN_2024,M1_overdraft_FSTSsq,lnemp,0.11622628347091128,0.023733045815859614,9.719497608571222e-07,1888,0.05333546448947435
CHN_2024,M1_overdraft_FSTSsq,firm_age,0.013306028158531286,0.003095146923295908,1.7157258945961392e-05,1888,0.05333546448947435
CHN_2024,M1_overdraft_FSTSsq,foreign_dummy,0.1893050488189778,0.1273206785438986,0.137057964009744,1888,0.05333546448947435
